government.vote.castvote_ballot,to be continue
justice.initiatejudicialprocess.chargeindict_place,to be continue
movement.transportartifact.receiveimport_destination,to be continue
manufacture.artifact.n/a_place,to be continue
personnel.endposition.firinglayoff_employee,to be continue
movement.transportperson.n/a_transporter,to be continue
contact.prevarication.correspondence_recipient,to be continue
justice.initiatejudicialprocess.chargeindict_prosecutor,to be continue
transaction.transfermoney.purchase_recipient,to be continue
contact.commitmentpromiseexpressintent.broadcast_recipient,to be continue
government.legislate.legislate_governmentbody,to be continue
justice.judicialconsequences.convict_place,to be continue
transaction.transfermoney.n/a_money,to be continue
government.vote.n/a_result,to be continue
contact.negotiate.n/a_participant,to be continue
movement.transportperson.grantentryasylum_passenger,to be continue
manufacture.artifact.createintellectualproperty_artifact,to be continue
manufacture.artifact.createintellectualproperty_manufacturer,to be continue
movement.transportperson.hide_hidingplace,to be continue
life.injure.n/a_injurer,to be continue
movement.transportperson.fall_origin,to be continue
transaction.transaction.embargosanction_place,to be continue
contact.negotiate.n/a_place,to be continue
contact.commandorder.broadcast_place,to be continue
transaction.transferownership.giftgrantprovideaid_place,to be continue
movement.transportperson.n/a_origin,to be continue
conflict.attack.firearmattack_instrument,to be continue
transaction.transferownership.purchase_giver,to be continue
life.injure.n/a_victim,to be continue
personnel.endposition.firinglayoff_placeofemployment,to be continue
contact.prevarication.broadcast_communicator,to be continue
movement.transportperson.n/a_destination,to be continue
contact.negotiate.meet_participant,to be continue
inspection.sensoryobserve.inspectpeopleorganization_place,to be continue
transaction.transferownership.embargosanction_recipient,to be continue
contact.threatencoerce.broadcast_communicator,to be continue
inspection.sensoryobserve.physicalinvestigateinspect_inspector,to be continue
transaction.transferownership.n/a_beneficiary,to be continue
movement.transportperson.smuggleextract_destination,to be continue
contact.commitmentpromiseexpressintent.broadcast_place,to be continue
transaction.transferownership.embargosanction_giver,to be continue
movement.transportperson.grantentryasylum_destination,to be continue
movement.transportperson.hide_transporter,to be continue
transaction.transferownership.borrowlend_beneficiary,to be continue
government.vote.castvote_candidate,to be continue
movement.transportartifact.receiveimport_origin,to be continue
contact.publicstatementinperson.broadcast_place,to be continue
contact.mediastatement.broadcast_recipient,to be continue
transaction.transaction.transfercontrol_giver,to be continue
transaction.transfermoney.payforservice_place,to be continue
justice.initiatejudicialprocess.trialhearing_prosecutor,to be continue
contact.threatencoerce.correspondence_place,to be continue
life.injure.illnessdegradationphysical_victim,to be continue
contact.discussion.correspondence_place,to be continue
justice.arrestjaildetain.arrestjaildetain_crime,to be continue
artifactexistence.damagedestroy.destroy_artifact,to be continue
personnel.elect.winelection_voter,to be continue
contact.publicstatementinperson.broadcast_recipient,to be continue
inspection.sensoryobserve.physicalinvestigateinspect_place,to be continue
justice.initiatejudicialprocess.trialhearing_crime,to be continue
contact.commitmentpromiseexpressintent.n/a_recipient,to be continue
movement.transportperson.selfmotion_origin,to be continue
contact.threatencoerce.n/a_place,to be continue
artifactexistence.damagedestroy.destroy_instrument,to be continue
transaction.transfermoney.borrowlend_beneficiary,to be continue
life.injure.n/a_place,to be continue
personnel.startposition.n/a_placeofemployment,to be continue
government.vote.violationspreventvote_voter,to be continue
government.formation.mergegpe_participant,to be continue
government.vote.violationspreventvote_place,to be continue
contact.publicstatementinperson.broadcast_communicator,to be continue
conflict.attack.biologicalchemicalpoisonattack_target,to be continue
conflict.attack.bombing_instrument,to be continue
movement.transportperson.grantentryasylum_transporter,to be continue
artifactexistence.damagedestroy.damage_instrument,to be continue
government.spy.spy_observedentity,to be continue
justice.investigate.investigatecrime_investigator,to be continue
contact.threatencoerce.correspondence_communicator,to be continue
contact.negotiate.meet_place,to be continue
movement.transportartifact.fall_destination,to be continue
artifactexistence.damagedestroy.n/a_damagerdestroyer,to be continue
movement.transportperson.smuggleextract_vehicle,to be continue
contact.negotiate.correspondence_participant,to be continue
justice.initiatejudicialprocess.n/a_defendant,to be continue
government.agreements.violateagreement_violator,to be continue
transaction.transferownership.embargosanction_preventer,to be continue
transaction.transfermoney.borrowlend_place,to be continue
movement.transportartifact.disperseseparate_artifact,to be continue
contact.commandorder.n/a_place,to be continue
manufacture.artifact.createmanufacture_manufacturer,to be continue
disaster.accidentcrash.accidentcrash_place,to be continue
life.die.nonviolentdeath_victim,to be continue
movement.transportartifact.sendsupplyexport_artifact,to be continue
conflict.attack.stealrobhijack_attacker,to be continue
government.vote.n/a_candidate,to be continue
movement.transportartifact.prevententry_transporter,to be continue
contact.discussion.meet_participant,to be continue
artifactexistence.damagedestroy.destroy_place,to be continue
disaster.accidentcrash.accidentcrash_crashobject,to be continue
conflict.demonstrate.n/a_place,to be continue
conflict.attack.firearmattack_target,to be continue
movement.transportartifact.disperseseparate_vehicle,to be continue
government.formation.startgpe_gpe,to be continue
justice.judicialconsequences.n/a_defendant,to be continue
transaction.transferownership.giftgrantprovideaid_giver,to be continue
artifactexistence.damagedestroy.damage_artifact,to be continue
contact.commitmentpromiseexpressintent.broadcast_communicator,to be continue
transaction.transfermoney.embargosanction_money,to be continue
contact.threatencoerce.meet_communicator,to be continue
transaction.transferownership.giftgrantprovideaid_beneficiary,to be continue
contact.commandorder.meet_place,to be continue
movement.transportartifact.n/a_destination,to be continue
inspection.sensoryobserve.monitorelection_monitoredentity,to be continue
justice.initiatejudicialprocess.n/a_crime,to be continue
justice.judicialconsequences.extradite_extraditer,to be continue
justice.initiatejudicialprocess.n/a_place,to be continue
transaction.transfermoney.giftgrantprovideaid_beneficiary,to be continue
government.vote.n/a_ballot,to be continue
conflict.yield.n/a_recipient,to be continue
conflict.attack.n/a_target,to be continue
contact.collaborate.n/a_participant,to be continue
movement.transportartifact.grantentry_artifact,to be continue
contact.threatencoerce.broadcast_recipient,to be continue
conflict.yield.surrender_recipient,to be continue
government.agreements.acceptagreementcontractceasefire_place,to be continue
movement.transportperson.evacuationrescue_passenger,to be continue
contact.threatencoerce.n/a_communicator,to be continue
movement.transportartifact.preventexit_destination,to be continue
manufacture.artifact.n/a_manufacturer,to be continue
transaction.transferownership.embargosanction_place,to be continue
contact.collaborate.meet_participant,to be continue
contact.commandorder.meet_communicator,to be continue
transaction.transfermoney.embargosanction_giver,to be continue
government.vote.violationspreventvote_ballot,to be continue
movement.transportartifact.n/a_artifact,to be continue
movement.transportartifact.n/a_transporter,to be continue
life.die.deathcausedbyviolentevents_instrument,to be continue
conflict.attack.hanging_target,to be continue
movement.transportartifact.prevententry_origin,to be continue
transaction.transfermoney.n/a_giver,to be continue
transaction.transfermoney.n/a_place,to be continue
movement.transportperson.smuggleextract_passenger,to be continue
contact.funeralvigil.n/a_deceased,to be continue
life.die.deathcausedbyviolentevents_killer,to be continue
movement.transportartifact.grantentry_destination,to be continue
transaction.transfermoney.embargosanction_recipient,to be continue
contact.requestadvise.broadcast_recipient,to be continue
justice.investigate.investigatecrime_crime,to be continue
contact.mediastatement.n/a_communicator,to be continue
disaster.fireexplosion.fireexplosion_instrument,to be continue
conflict.attack.stabbing_attacker,to be continue
conflict.yield.retreat_destination,to be continue
transaction.transfermoney.purchase_beneficiary,to be continue
manufacture.artifact.createintellectualproperty_place,to be continue
government.vote.n/a_place,to be continue
life.injure.injurycausedbyviolentevents_injurer,to be continue
movement.transportperson.selfmotion_transporter,to be continue
conflict.attack.selfdirectedbattle_instrument,to be continue
justice.judicialconsequences.extradite_crime,to be continue
artifactexistence.damagedestroy.destroy_destroyer,to be continue
justice.investigate.n/a_investigator,to be continue
conflict.attack.stabbing_instrument,to be continue
life.die.nonviolentdeath_place,to be continue
conflict.attack.stabbing_place,to be continue
contact.requestadvise.correspondence_place,to be continue
manufacture.artifact.createmanufacture_artifact,to be continue
movement.transportartifact.receiveimport_transporter,to be continue
life.injure.illnessdegradationhungerthirst_victim,to be continue
government.vote.castvote_voter,to be continue
movement.transportartifact.disperseseparate_origin,to be continue
personnel.elect.n/a_voter,to be continue
conflict.attack.selfdirectedbattle_attacker,to be continue
movement.transportartifact.hide_vehicle,to be continue
contact.requestadvise.correspondence_recipient,to be continue
transaction.transferownership.purchase_recipient,to be continue
movement.transportartifact.bringcarryunload_artifact,to be continue
transaction.transferownership.borrowlend_artifact,to be continue
conflict.attack.invade_place,to be continue
government.agreements.rejectnullifyagreementcontractceasefire_otherparticipant,to be continue
movement.transportperson.smuggleextract_origin,to be continue
transaction.transfermoney.purchase_money,to be continue
contact.prevarication.meet_recipient,to be continue
transaction.transfermoney.embargosanction_preventer,to be continue
movement.transportperson.grantentryasylum_granter,to be continue
conflict.attack.strangling_place,to be continue
government.vote.castvote_place,to be continue
inspection.sensoryobserve.physicalinvestigateinspect_inspectedentity,to be continue
justice.judicialconsequences.execute_defendant,to be continue
movement.transportartifact.smuggleextract_artifact,to be continue
movement.transportartifact.smuggleextract_vehicle,to be continue
movement.transportartifact.nonviolentthrowlaunch_transporter,to be continue
government.agreements.n/a_place,to be continue
movement.transportartifact.sendsupplyexport_vehicle,to be continue
contact.commitmentpromiseexpressintent.meet_recipient,to be continue
conflict.attack.n/a_instrument,to be continue
transaction.transferownership.giftgrantprovideaid_recipient,to be continue
movement.transportartifact.nonviolentthrowlaunch_artifact,to be continue
movement.transportartifact.grantentry_origin,to be continue
government.formation.n/a_gpe,to be continue
contact.requestadvise.broadcast_communicator,to be continue
contact.funeralvigil.n/a_place,to be continue
conflict.attack.stealrobhijack_target,to be continue
justice.initiatejudicialprocess.chargeindict_judgecourt,to be continue
contact.commandorder.correspondence_recipient,to be continue
contact.discussion.meet_place,to be continue
inspection.sensoryobserve.inspectpeopleorganization_inspectedentity,to be continue
contact.prevarication.correspondence_place,to be continue
conflict.attack.firearmattack_place,to be continue
transaction.transfermoney.embargosanction_place,to be continue
justice.arrestjaildetain.arrestjaildetain_jailer,to be continue
contact.funeralvigil.n/a_participant,to be continue
movement.transportartifact.preventexit_artifact,to be continue
movement.transportperson.evacuationrescue_origin,to be continue
transaction.transaction.giftgrantprovideaid_giver,to be continue
transaction.transaction.embargosanction_preventer,to be continue
inspection.sensoryobserve.n/a_place,to be continue
personnel.elect.winelection_place,to be continue
justice.judicialconsequences.n/a_judgecourt,to be continue
movement.transportartifact.n/a_origin,to be continue
government.formation.startgpe_founder,to be continue
movement.transportperson.selfmotion_destination,to be continue
movement.transportperson.preventexit_preventer,to be continue
contact.requestadvise.n/a_recipient,to be continue
manufacture.artifact.build_manufacturer,to be continue
inspection.sensoryobserve.monitorelection_place,to be continue
transaction.transaction.embargosanction_giver,to be continue
government.vote.n/a_voter,to be continue
conflict.attack.strangling_target,to be continue
contact.prevarication.meet_place,to be continue
conflict.attack.setfire_place,to be continue
personnel.startposition.hiring_employee,to be continue
conflict.attack.selfdirectedbattle_target,to be continue
conflict.attack.invade_attacker,to be continue
contact.funeralvigil.meet_deceased,to be continue
justice.judicialconsequences.n/a_crime,to be continue
movement.transportartifact.n/a_vehicle,to be continue
transaction.transfermoney.n/a_beneficiary,to be continue
movement.transportartifact.hide_transporter,to be continue
movement.transportperson.evacuationrescue_vehicle,to be continue
government.vote.castvote_result,to be continue
contact.commitmentpromiseexpressintent.correspondence_communicator,to be continue
manufacture.artifact.build_instrument,to be continue
justice.judicialconsequences.n/a_place,to be continue
contact.commandorder.n/a_communicator,to be continue
transaction.transfermoney.payforservice_giver,to be continue
movement.transportperson.prevententry_origin,to be continue
contact.requestadvise.n/a_communicator,to be continue
justice.initiatejudicialprocess.trialhearing_judgecourt,to be continue
movement.transportperson.fall_destination,to be continue
transaction.transaction.transfercontrol_place,to be continue
contact.threatencoerce.meet_place,to be continue
contact.commandorder.broadcast_recipient,to be continue
transaction.transfermoney.n/a_recipient,to be continue
manufacture.artifact.n/a_artifact,to be continue
movement.transportartifact.disperseseparate_destination,to be continue
government.agreements.violateagreement_place,to be continue
justice.investigate.n/a_place,to be continue
transaction.transferownership.purchase_beneficiary,to be continue
movement.transportartifact.grantentry_transporter,to be continue
justice.judicialconsequences.convict_judgecourt,to be continue
movement.transportperson.bringcarryunload_vehicle,to be continue
conflict.attack.bombing_target,to be continue
movement.transportartifact.smuggleextract_transporter,to be continue
justice.initiatejudicialprocess.trialhearing_place,to be continue
contact.threatencoerce.broadcast_place,to be continue
disaster.fireexplosion.fireexplosion_fireexplosionobject,to be continue
disaster.accidentcrash.accidentcrash_vehicle,to be continue
movement.transportartifact.bringcarryunload_vehicle,to be continue
transaction.transferownership.purchase_artifact,to be continue
transaction.transaction.n/a_beneficiary,to be continue
conflict.attack.setfire_target,to be continue
government.spy.spy_place,to be continue
contact.funeralvigil.meet_participant,to be continue
conflict.attack.n/a_attacker,to be continue
contact.requestadvise.broadcast_place,to be continue
contact.commandorder.meet_recipient,to be continue
personnel.startposition.hiring_placeofemployment,to be continue
movement.transportperson.prevententry_transporter,to be continue
contact.prevarication.broadcast_place,to be continue
contact.commandorder.correspondence_communicator,to be continue
movement.transportperson.bringcarryunload_transporter,to be continue
movement.transportperson.hide_passenger,to be continue
movement.transportartifact.receiveimport_artifact,to be continue
transaction.transaction.n/a_participant,to be continue
contact.prevarication.broadcast_recipient,to be continue
conflict.attack.biologicalchemicalpoisonattack_attacker,to be continue
contact.collaborate.correspondence_place,to be continue
transaction.transferownership.borrowlend_giver,to be continue
conflict.yield.n/a_yielder,to be continue
contact.threatencoerce.n/a_recipient,to be continue
conflict.demonstrate.marchprotestpoliticalgathering_demonstrator,to be continue
movement.transportartifact.bringcarryunload_transporter,to be continue
justice.judicialconsequences.execute_executioner,to be continue
contact.mediastatement.n/a_recipient,to be continue
conflict.attack.stealrobhijack_artifact,to be continue
inspection.sensoryobserve.n/a_observer,to be continue
transaction.transaction.embargosanction_recipient,to be continue
conflict.attack.airstrikemissilestrike_instrument,to be continue
movement.transportartifact.receiveimport_vehicle,to be continue
movement.transportartifact.disperseseparate_transporter,to be continue
conflict.attack.biologicalchemicalpoisonattack_instrument,to be continue
justice.judicialconsequences.convict_defendant,to be continue
contact.commitmentpromiseexpressintent.n/a_communicator,to be continue
justice.arrestjaildetain.arrestjaildetain_detainee,to be continue
movement.transportperson.disperseseparate_destination,to be continue
movement.transportperson.prevententry_destination,to be continue
justice.judicialconsequences.convict_crime,to be continue
government.spy.spy_beneficiary,to be continue
personnel.endposition.n/a_placeofemployment,to be continue
transaction.transferownership.embargosanction_artifact,to be continue
contact.mediastatement.broadcast_communicator,to be continue
contact.commandorder.correspondence_place,to be continue
transaction.transaction.transfercontrol_territoryorfacility,to be continue
movement.transportperson.n/a_passenger,to be continue
movement.transportperson.prevententry_preventer,to be continue
conflict.attack.setfire_attacker,to be continue
contact.requestadvise.correspondence_communicator,to be continue
transaction.transferownership.n/a_recipient,to be continue
contact.commandorder.n/a_recipient,to be continue
conflict.attack.invade_target,to be continue
personnel.startposition.n/a_place,to be continue
contact.mediastatement.broadcast_place,to be continue
movement.transportperson.preventexit_passenger,to be continue
government.agreements.n/a_participant,to be continue
personnel.endposition.quitretire_place,to be continue
contact.publicstatementinperson.n/a_recipient,to be continue
transaction.transferownership.n/a_artifact,to be continue
life.injure.injurycausedbyviolentevents_victim,to be continue
government.vote.violationspreventvote_preventer,to be continue
contact.discussion.n/a_place,to be continue
justice.judicialconsequences.execute_crime,to be continue
transaction.transfermoney.borrowlend_giver,to be continue
movement.transportartifact.nonviolentthrowlaunch_origin,to be continue
movement.transportperson.preventexit_origin,to be continue
personnel.endposition.quitretire_placeofemployment,to be continue
manufacture.artifact.build_place,to be continue
conflict.yield.retreat_origin,to be continue
manufacture.artifact.n/a_instrument,to be continue
conflict.attack.bombing_attacker,to be continue
movement.transportperson.bringcarryunload_passenger,to be continue
government.legislate.legislate_place,to be continue
justice.initiatejudicialprocess.n/a_judgecourt,to be continue
contact.prevarication.n/a_place,to be continue
movement.transportperson.hide_origin,to be continue
contact.publicstatementinperson.n/a_communicator,to be continue
justice.investigate.n/a_defendant,to be continue
conflict.attack.airstrikemissilestrike_target,to be continue
movement.transportartifact.preventexit_preventer,to be continue
transaction.transfermoney.payforservice_money,to be continue
transaction.transfermoney.giftgrantprovideaid_place,to be continue
personnel.endposition.n/a_employee,to be continue
personnel.startposition.hiring_place,to be continue
movement.transportperson.preventexit_destination,to be continue
movement.transportperson.hide_vehicle,to be continue
contact.commitmentpromiseexpressintent.correspondence_recipient,to be continue
artifactexistence.damagedestroy.n/a_place,to be continue
transaction.transfermoney.payforservice_recipient,to be continue
artifactexistence.damagedestroy.damage_place,to be continue
conflict.attack.airstrikemissilestrike_place,to be continue
justice.judicialconsequences.extradite_destination,to be continue
contact.requestadvise.meet_recipient,to be continue
transaction.transferownership.borrowlend_place,to be continue
conflict.demonstrate.marchprotestpoliticalgathering_place,to be continue
personnel.elect.n/a_candidate,to be continue
justice.investigate.investigatecrime_place,to be continue
artifactexistence.damagedestroy.n/a_instrument,to be continue
conflict.attack.invade_instrument,to be continue
movement.transportperson.prevententry_passenger,to be continue
transaction.transfermoney.purchase_place,to be continue
contact.collaborate.correspondence_participant,to be continue
movement.transportartifact.sendsupplyexport_origin,to be continue
justice.initiatejudicialprocess.trialhearing_defendant,to be continue
government.spy.spy_spy,to be continue
life.die.deathcausedbyviolentevents_victim,to be continue
movement.transportartifact.sendsupplyexport_transporter,to be continue
government.agreements.violateagreement_otherparticipant,to be continue
justice.judicialconsequences.execute_place,to be continue
justice.investigate.investigatecrime_defendant,to be continue
life.die.deathcausedbyviolentevents_place,to be continue
conflict.attack.bombing_place,to be continue
transaction.transaction.giftgrantprovideaid_recipient,to be continue
manufacture.artifact.createmanufacture_instrument,to be continue
life.die.n/a_place,to be continue
movement.transportperson.disperseseparate_passenger,to be continue
movement.transportartifact.fall_origin,to be continue
justice.arrestjaildetain.arrestjaildetain_place,to be continue
movement.transportartifact.hide_origin,to be continue
movement.transportperson.disperseseparate_vehicle,to be continue
movement.transportartifact.nonviolentthrowlaunch_vehicle,to be continue
transaction.transfermoney.borrowlend_money,to be continue
movement.transportperson.fall_passenger,to be continue
government.formation.n/a_founder,to be continue
justice.judicialconsequences.extradite_defendant,to be continue
disaster.accidentcrash.accidentcrash_driverpassenger,to be continue
transaction.transfermoney.purchase_giver,to be continue
movement.transportartifact.preventexit_origin,to be continue
inspection.sensoryobserve.n/a_observedentity,to be continue
personnel.endposition.firinglayoff_place,to be continue
movement.transportperson.bringcarryunload_destination,to be continue
government.legislate.legislate_law,to be continue
conflict.attack.hanging_instrument,to be continue
conflict.attack.airstrikemissilestrike_attacker,to be continue
manufacture.artifact.createmanufacture_place,to be continue
conflict.yield.surrender_surrenderer,to be continue
movement.transportperson.grantentryasylum_origin,to be continue
justice.judicialconsequences.extradite_origin,to be continue
conflict.attack.strangling_attacker,to be continue
movement.transportartifact.prevententry_artifact,to be continue
movement.transportperson.disperseseparate_transporter,to be continue
conflict.attack.biologicalchemicalpoisonattack_place,to be continue
contact.commitmentpromiseexpressintent.meet_communicator,to be continue
transaction.transaction.embargosanction_artifactmoney,to be continue
personnel.elect.n/a_place,to be continue
contact.prevarication.meet_communicator,to be continue
movement.transportperson.smuggleextract_transporter,to be continue
personnel.endposition.n/a_place,to be continue
conflict.attack.n/a_place,to be continue
conflict.attack.setfire_instrument,to be continue
movement.transportartifact.prevententry_preventer,to be continue
personnel.elect.winelection_candidate,to be continue
contact.collaborate.meet_place,to be continue
movement.transportartifact.sendsupplyexport_destination,to be continue
conflict.attack.hanging_place,to be continue
contact.collaborate.n/a_place,to be continue
movement.transportartifact.hide_hidingplace,to be continue
movement.transportperson.n/a_vehicle,to be continue
movement.transportartifact.nonviolentthrowlaunch_destination,to be continue
transaction.transfermoney.giftgrantprovideaid_money,to be continue
artifactexistence.damagedestroy.damage_damager,to be continue
transaction.transfermoney.payforservice_beneficiary,to be continue
conflict.yield.retreat_retreater,to be continue
transaction.transfermoney.giftgrantprovideaid_recipient,to be continue
movement.transportperson.bringcarryunload_origin,to be continue
contact.requestadvise.n/a_place,to be continue
contact.prevarication.correspondence_communicator,to be continue
contact.prevarication.n/a_recipient,to be continue
life.injure.injurycausedbyviolentevents_place,to be continue
contact.commitmentpromiseexpressintent.n/a_place,to be continue
conflict.attack.firearmattack_attacker,to be continue
inspection.sensoryobserve.monitorelection_monitor,to be continue
contact.prevarication.n/a_communicator,to be continue
transaction.transferownership.n/a_giver,to be continue
transaction.transferownership.purchase_place,to be continue
